id,name,party,partyLabel,votes,election,electionLabel,ranking
Q303299,Tobias Ellwood,Q9626,Conservative Party (UK),24926,Q30173038,General election 2019,1
,Corrie Drew,Q9630,Labour Party (UK),16120,Q30173038,General election 2019,2
,Philip Dunn,Q9624,Liberal Democrats (UK),5418,Q30173038,General election 2019,3
,Alasdair Keddie,Q9669,Green Party of England and Wales,2049,Q30173038,General election 2019,4
,Ben Aston,Q327591,Independent politician,447,Q30173038,General election 2019,5
,Emma Johnson,Q327591,Independent politician,314,Q30173038,General election 2019,6
Q303299,Tobias Ellwood,Q9626,Conservative Party (UK),25221,Q25052149,General election 2017,1
,Mel Semple,Q9630,Labour Party (UK),17284,Q25052149,General election 2017,2
,Jon Nicholas,Q9624,Liberal Democrats (UK),3168,Q25052149,General election 2017,3
,David Hughes,Q10647,UK Independence Party,1405,Q25052149,General election 2017,4
,Alasdair Keddie,Q9669,Green Party of England and Wales,1236,Q25052149,General election 2017,5
,Kieron Wilson,Q327591,Independent (politician),304,Q25052149,General election 2017,6
Q303299,Tobias Ellwood,Q9626,Conservative Party (UK),22060,Q3586935,General election 2015,1
,Peter Stokes,Q9630,Labour Party (UK),7448,Q3586935,General election 2015,2
,David Hughes,Q10647,UK Independence Party,7401,Q3586935,General election 2015,3
,Jon Nicholas,Q9624,Liberal Democrats (UK),3752,Q3586935,General election 2015,4
,Alasdair Keddie,Q9669,Green Party of England and Wales,3263,Q3586935,General election 2015,5
,David Ross,Q327591,Independent (politician),903,Q3586935,General election 2015,6
Q303299,Tobias Ellwood,Q9626,Conservative Party (UK),21320,Q215622,General election 2010,1
,Lisa Northover,Q9624,Liberal Democrats (UK),13592,Q215622,General election 2010,2
,David Stokes,Q9630,Labour Party (UK),5836,Q215622,General election 2010,3
,David Hughes,Q10647,UK Independence Party,3027,Q215622,General election 2010,4
,Steven Humphrey,Q327591,Independent (politician),249,Q215622,General election 2010,5
Q303299,Tobias Ellwood,Q9626,Conservative Party (UK),16925,Q428598,General election 2005,1
,Andrew Garratt,Q9624,Liberal Democrats (UK),11681,Q428598,General election 2005,2
,David Stokes,Q9630,Labour Party (UK),7191,Q428598,General election 2005,3
,Thomas Collier,Q10647,UK Independence Party,1802,Q428598,General election 2005,4
Q338243,David Atkinson,Q9626,Conservative Party (UK),15501,Q590740,General election 2001,1
,Andrew Garratt,Q9624,Liberal Democrats (UK),12067,Q590740,General election 2001,2
,Paul Nicholson,Q9630,Labour Party (UK),7107,Q590740,General election 2001,3
,George Chamberlaine,Q10647,UK Independence Party,1124,Q590740,General election 2001,4
Q338243,David Atkinson,Q9626,Conservative Party (UK),17997,Q918503,General election 1997,1
,Douglas Eyre,Q9624,Liberal Democrats (UK),13655,Q918503,General election 1997,2
,Jessica Stevens,Q9630,Labour Party (UK),9181,Q918503,General election 1997,3
,Alan Musgrave-Scott,Q278315,Referendum Party,1808,Q918503,General election 1997,4
,Kenneth Benney,Q10647,UK Independence Party,791,Q918503,General election 1997,5
Q338243,David Atkinson,Q9626,Conservative Party (UK),30820,Q543609,General election 1992,1
,Neil Russell,Q9624,Liberal Democrats (UK),15998,Q543609,General election 1992,2
,Peter Brushett,Q9630,Labour Party (UK),7541,Q543609,General election 1992,3
,Susan Holmes,Q491782,Natural Law Party,329,Q543609,General election 1992,4
Q338243,David Atkinson,Q9626,Conservative Party (UK),30925,Q918472,General election 1987,1
,John Millward,Q622441,Liberal Party (UK),16242,Q918472,General election 1987,2
,Ian Taylor,Q9630,Labour Party (UK),5885,Q918472,General election 1987,3
Q338243,David Atkinson,Q9626,Conservative Party (UK),25176,Q918466,General election 1983,1
,John Millward,Q622441,Liberal Party (UK),13760,Q918466,General election 1983,2
,Michael Shutler,Q9630,Labour Party (UK),4026,Q918466,General election 1983,3
,Phyllis Hogarth,Q6016507,Independent Conservative,3644,Q918466,General election 1983,4
,Trevor Dykes,Q15980875,Ecology Party,273,Q918466,General election 1983,5
,Jeremy Stooks,Q1421227,Official Monster Raving Loony Party,225,Q918466,General election 1983,6
Q338243,David Atkinson,Q9626,Conservative Party (UK),25808,Q918450,General election 1979,1
,Joseph Goodwin,Q9630,Labour Party (UK),7553,Q918450,General election 1979,2
,Donald Matthew,Q622441,Liberal Party (UK),6738,Q918450,General election 1979,3
,John Philip Pratt,Q7005720,New Britain Party,581,Q918450,General election 1979,4
,Jacqueline Mary Dempsey,Q15980875,Ecology Party,523,Q918450,General election 1979,5
Q338243,David Atkinson,Q9626,Conservative Party (UK),15235,Q16824053,By-election 1977,1
,Joseph Goodwin,Q9630,Labour Party (UK),3684,Q16824053,By-election 1977,2
,Donald Matthew,Q622441,Liberal Party (UK),3212,Q16824053,By-election 1977,3
,John Philip Pratt,Q7005720,New Britain Party,1127,Q16824053,By-election 1977,4
,Kenneth Roderick McKilliam,Q158093,National Front (UK),725,Q16824053,By-election 1977,5
,Brian Heron,Q4288221,International Marxist Group,494,Q16824053,By-election 1977,6
Q4908179,Bill Boaks,Q98600385,"Democratic Monarchist, Public Safety, White Resident",42,Q16824053,By-election 1977,7
Q6227121,John Cordle,Q9626,Conservative Party (UK),20790,Q918508,General election October 1974,1
,George Hamilton Musgrave,Q622441,Liberal Party (UK),10129,Q918508,General election October 1974,2
,Desmond Earle Lock,Q9630,Labour Party (UK),8422,Q918508,General election October 1974,3
,Michael John Hayes,Q158093,National Front (UK),828,Q918508,General election October 1974,4
Q6227121,John Cordle,Q9626,Conservative Party (UK),22319,Q119524,General election February 1974,1
,George Hamilton Musgrave,Q622441,Liberal Party (UK),13005,Q119524,General election February 1974,2
,Desmond Earle Lock,Q9630,Labour Party (UK),7423,Q119524,General election February 1974,3
,Michael John Hayes,Q158093,National Front (UK),875,Q119524,General election February 1974,4
,Alan Stanley Reynolds,Q52847,EEC,834,Q119524,General election February 1974,5
